Date,City,Location_Type,Society_Project,Block_Sector,Size,Price_PKR,Price_Per_Marla_PKR,Development_Status,Year,Month,Days_Since_Start
11/15/2022,Islamabad,Residential,DHA Islamabad,Phase 2,10 Marla,17200000,1720000,Fully Developed,2022,11,1037
2/15/2023,Islamabad,Residential,DHA Islamabad,Phase 2,10 Marla,17600000,1760000,Fully Developed,2023,2,1127
5/15/2023,Islamabad,Residential,DHA Islamabad,Phase 2,10 Marla,17900000,1790000,Fully Developed,2023,5,1220
8/15/2023,Islamabad,Residential,DHA Islamabad,Phase 2,10 Marla,18200000,1820000,Fully Developed,2023,8,1311
11/15/2023,Islamabad,Residential,DHA Islamabad,Phase 2,10 Marla,18500000,1850000,Fully Developed,2023,11,1402
2/15/2024,Islamabad,Residential,DHA Islamabad,Phase 2,10 Marla,18650000,1865000,Fully Developed,2024,2,1492
5/15/2024,Islamabad,Residential,DHA Islamabad,Phase 2,10 Marla,18750000,1875000,Fully Developed,2024,5,1585
8/15/2024,Islamabad,Residential,DHA Islamabad,Phase 2,10 Marla,18750000,1875000,Fully Developed,2024,8,1676
11/15/2024,Islamabad,Residential,DHA Islamabad,Phase 2,10 Marla,18650000,1865000,Fully Developed,2024,11,1767
2/15/2025,Islamabad,Residential,DHA Islamabad,Phase 2,10 Marla,18800000,1880000,Fully Developed,2025,2,1859
5/15/2025,Islamabad,Residential,DHA Islamabad,Phase 2,10 Marla,19000000,1900000,Fully Developed,2025,5,1952
8/15/2025,Islamabad,Residential,DHA Islamabad,Phase 2,10 Marla,19200000,1920000,Fully Developed,2025,8,2043
11/15/2025,Islamabad,Residential,DHA Islamabad,Phase 2,10 Marla,19500000,1950000,Fully Developed,2025,11,2134
2/15/2026,Islamabad,Residential,DHA Islamabad,Phase 2,10 Marla,20100000,2010000,Fully Developed,2026,2,2222
1/20/2020,Islamabad,Residential,Bahria Town Islamabad,Block A,5 Marla,2200000,440000,Developed,2020,1,5
4/20/2020,Islamabad,Residential,Bahria Town Islamabad,Block A,5 Marla,2400000,480000,Developed,2020,4,100
7/20/2020,Islamabad,Residential,Bahria Town Islamabad,Block A,5 Marla,2700000,540000,Developed,2020,7,182
10/20/2020,Islamabad,Residential,Bahria Town Islamabad,Block A,5 Marla,3000000,600000,Developed,2020,10,264
1/20/2021,Islamabad,Residential,Bahria Town Islamabad,Block A,5 Marla,3300000,660000,Developed,2021,1,356
4/20/2021,Islamabad,Residential,Bahria Town Islamabad,Block A,5 Marla,3700000,740000,Developed,2021,4,451
7/20/2021,Islamabad,Residential,Bahria Town Islamabad,Block A,5 Marla,4200000,840000,Developed,2021,7,533
10/20/2021,Islamabad,Residential,Bahria Town Islamabad,Block A,5 Marla,4700000,940000,Developed,2021,10,624
1/20/2022,Islamabad,Residential,Bahria Town Islamabad,Block A,5 Marla,5100000,1020000,Developed,2022,1,715
4/20/2022,Islamabad,Residential,Bahria Town Islamabad,Block A,5 Marla,5600000,1120000,Developed,2022,4,806
7/20/2022,Islamabad,Residential,Bahria Town Islamabad,Block A,5 Marla,6100000,1220000,Developed,2022,7,888
10/20/2022,Islamabad,Residential,Bahria Town Islamabad,Block A,5 Marla,6500000,1300000,Developed,2022,10,979
1/20/2023,Islamabad,Residential,Bahria Town Islamabad,Block A,5 Marla,6700000,1340000,Developed,2023,1,1070
4/20/2023,Islamabad,Residential,Bahria Town Islamabad,Block A,5 Marla,6800000,1360000,Developed,2023,4,1161
7/20/2023,Islamabad,Residential,Bahria Town Islamabad,Block A,5 Marla,6850000,1370000,Developed,2023,7,1243
10/20/2023,Islamabad,Residential,Bahria Town Islamabad,Block A,5 Marla,6900000,1380000,Developed,2023,10,1334
1/20/2024,Islamabad,Residential,Bahria Town Islamabad,Block A,5 Marla,6850000,1370000,Developed,2024,1,1425
4/20/2024,Islamabad,Residential,Bahria Town Islamabad,Block A,5 Marla,6800000,1360000,Developed,2024,4,1516
7/20/2024,Islamabad,Residential,Bahria Town Islamabad,Block A,5 Marla,6800000,1360000,Developed,2024,7,1598
10/20/2024,Islamabad,Residential,Bahria Town Islamabad,Block A,5 Marla,6900000,1380000,Developed,2024,10,1689
1/20/2025,Islamabad,Residential,Bahria Town Islamabad,Block A,5 Marla,7100000,1420000,Developed,2025,1,1781
4/20/2025,Islamabad,Residential,Bahria Town Islamabad,Block A,5 Marla,7300000,1460000,Developed,2025,4,1872
7/20/2025,Islamabad,Residential,Bahria Town Islamabad,Block A,5 Marla,7450000,1490000,Developed,2025,7,1954
10/20/2025,Islamabad,Residential,Bahria Town Islamabad,Block A,5 Marla,7650000,1530000,Developed,2025,10,2045
1/20/2026,Islamabad,Residential,Bahria Town Islamabad,Block A,5 Marla,7850000,1570000,Developed,2026,1,2137
2/1/2020,Islamabad,Residential,Capital Smart City,Overseas Block,5 Marla,1200000,240000,Under Development,2020,2,18
5/1/2020,Islamabad,Residential,Capital Smart City,Overseas Block,5 Marla,1350000,270000,Under Development,2020,5,106
8/1/2020,Islamabad,Residential,Capital Smart City,Overseas Block,5 Marla,1550000,310000,Under Development,2020,8,182
11/1/2020,Islamabad,Residential,Capital Smart City,Overseas Block,5 Marla,1750000,350000,Under Development,2020,11,274
2/1/2021,Islamabad,Residential,Capital Smart City,Overseas Block,5 Marla,1950000,390000,Under Development,2021,2,367
5/1/2021,Islamabad,Residential,Capital Smart City,Overseas Block,5 Marla,2150000,430000,Under Development,2021,5,460
8/1/2021,Islamabad,Residential,Capital Smart City,Overseas Block,5 Marla,2350000,470000,Under Development,2021,8,547
11/1/2021,Islamabad,Residential,Capital Smart City,Overseas Block,5 Marla,2400000,480000,Under Development,2021,11,638
2/1/2022,Islamabad,Residential,Capital Smart City,Overseas Block,5 Marla,2315000,463000,Under Development,2022,2,728
5/1/2022,Islamabad,Residential,Capital Smart City,Overseas Block,5 Marla,2250000,450000,Under Development,2022,5,821
8/1/2022,Islamabad,Residential,Capital Smart City,Overseas Block,5 Marla,2200000,440000,Under Development,2022,8,912
11/1/2022,Islamabad,Residential,Capital Smart City,Overseas Block,5 Marla,2200000,440000,Under Development,2022,11,1003
2/1/2023,Islamabad,Residential,Capital Smart City,Overseas Block,5 Marla,2250000,450000,Under Development,2023,2,1093
5/1/2023,Islamabad,Residential,Capital Smart City,Overseas Block,5 Marla,2315000,463000,Under Development,2023,5,1186
8/1/2023,Islamabad,Residential,Capital Smart City,Overseas Block,5 Marla,2350000,470000,Under Development,2023,8,1273
11/1/2023,Islamabad,Residential,Capital Smart City,Overseas Block,5 Marla,2380000,476000,Under Development,2023,11,1364
2/1/2024,Islamabad,Residential,Capital Smart City,Overseas Block,5 Marla,2390000,478000,Under Development,2024,2,1454
5/1/2024,Islamabad,Residential,Capital Smart City,Overseas Block,5 Marla,2400000,480000,Under Development,2024,5,1547
8/1/2024,Islamabad,Residential,Capital Smart City,Overseas Block,5 Marla,2410000,482000,Under Development,2024,8,1638
11/1/2024,Islamabad,Residential,Capital Smart City,Overseas Block,5 Marla,2410000,482000,Under Development,2024,11,1729
2/1/2025,Islamabad,Residential,Capital Smart City,Overseas Block,5 Marla,2415000,483000,Under Development,2025,2,1821
5/1/2025,Islamabad,Residential,Capital Smart City,Overseas Block,5 Marla,2425000,485000,Under Development,2025,5,1914
8/1/2025,Islamabad,Residential,Capital Smart City,Overseas Block,5 Marla,2440000,488000,Under Development,2025,8,2005
11/1/2025,Islamabad,Residential,Capital Smart City,Overseas Block,5 Marla,2460000,492000,Under Development,2025,11,2096
2/1/2026,Islamabad,Residential,Capital Smart City,Overseas Block,5 Marla,2485000,497000,Under Development,2026,2,2184
3/10/2020,Rawalpindi,Residential,Bahria Town Rawalpindi,Phase 8 Block A,5 Marla,2000000,400000,Developed,2020,3,69
6/10/2020,Rawalpindi,Residential,Bahria Town Rawalpindi,Phase 8 Block A,5 Marla,2250000,450000,Developed,2020,6,153
9/10/2020,Rawalpindi,Residential,Bahria Town Rawalpindi,Phase 8 Block A,5 Marla,2550000,510000,Developed,2020,9,244
12/10/2020,Rawalpindi,Residential,Bahria Town Rawalpindi,Phase 8 Block A,5 Marla,2850000,570000,Developed,2020,12,335
3/10/2021,Rawalpindi,Residential,Bahria Town Rawalpindi,Phase 8 Block A,5 Marla,3150000,630000,Developed,2021,3,429
6/10/2021,Rawalpindi,Residential,Bahria Town Rawalpindi,Phase 8 Block A,5 Marla,3550000,710000,Developed,2021,6,522
9/10/2021,Rawalpindi,Residential,Bahria Town Rawalpindi,Phase 8 Block A,5 Marla,4000000,800000,Developed,2021,9,613
12/10/2021,Rawalpindi,Residential,Bahria Town Rawalpindi,Phase 8 Block A,5 Marla,4500000,900000,Developed,2021,12,704
3/10/2022,Rawalpindi,Residential,Bahria Town Rawalpindi,Phase 8 Block A,5 Marla,4950000,990000,Developed,2022,3,794
6/10/2022,Rawalpindi,Residential,Bahria Town Rawalpindi,Phase 8 Block A,5 Marla,5250000,1050000,Developed,2022,6,887
9/10/2022,Rawalpindi,Residential,Bahria Town Rawalpindi,Phase 8 Block A,5 Marla,5400000,1080000,Developed,2022,9,978
12/10/2022,Rawalpindi,Residential,Bahria Town Rawalpindi,Phase 8 Block A,5 Marla,5200000,1040000,Developed,2022,12,1069
3/10/2023,Rawalpindi,Residential,Bahria Town Rawalpindi,Phase 8 Block A,5 Marla,5100000,1020000,Developed,2023,3,1159
6/10/2023,Rawalpindi,Residential,Bahria Town Rawalpindi,Phase 8 Block A,5 Marla,5150000,1030000,Developed,2023,6,1252
9/10/2023,Rawalpindi,Residential,Bahria Town Rawalpindi,Phase 8 Block A,5 Marla,5200000,1040000,Developed,2023,9,1343
12/10/2023,Rawalpindi,Residential,Bahria Town Rawalpindi,Phase 8 Block A,5 Marla,5200000,1040000,Developed,2023,12,1434
3/10/2024,Rawalpindi,Residential,Bahria Town Rawalpindi,Phase 8 Block A,5 Marla,5180000,1036000,Developed,2024,3,1524
6/10/2024,Rawalpindi,Residential,Bahria Town Rawalpindi,Phase 8 Block A,5 Marla,5200000,1040000,Developed,2024,6,1617
9/10/2024,Rawalpindi,Residential,Bahria Town Rawalpindi,Phase 8 Block A,5 Marla,5210000,1042000,Developed,2024,9,1708
12/10/2024,Rawalpindi,Residential,Bahria Town Rawalpindi,Phase 8 Block A,5 Marla,5200000,1040000,Developed,2024,12,1799
3/10/2025,Rawalpindi,Residential,Bahria Town Rawalpindi,Phase 8 Block A,5 Marla,5230000,1046000,Developed,2025,3,1889
6/10/2025,Rawalpindi,Residential,Bahria Town Rawalpindi,Phase 8 Block A,5 Marla,5250000,1050000,Developed,2025,6,1982
9/10/2025,Rawalpindi,Residential,Bahria Town Rawalpindi,Phase 8 Block A,5 Marla,5280000,1056000,Developed,2025,9,2073
12/10/2025,Rawalpindi,Residential,Bahria Town Rawalpindi,Phase 8 Block A,5 Marla,5350000,1070000,Developed,2025,12,2164
3/10/2026,Rawalpindi,Residential,Bahria Town Rawalpindi,Phase 8 Block A,5 Marla,5420000,1084000,Developed,2026,3,2255
1/25/2020,Rawalpindi,Residential,DHA Islamabad-Rawalpindi,Phase 1,5 Marla,2500000,500000,Fully Developed,2020,1,10
4/25/2020,Rawalpindi,Residential,DHA Islamabad-Rawalpindi,Phase 1,5 Marla,2800000,560000,Fully Developed,2020,4,106
7/25/2020,Rawalpindi,Residential,DHA Islamabad-Rawalpindi,Phase 1,5 Marla,3150000,630000,Fully Developed,2020,7,192
10/25/2020,Rawalpindi,Residential,DHA Islamabad-Rawalpindi,Phase 1,5 Marla,3600000,720000,Fully Developed,2020,10,274
1/25/2021,Rawalpindi,Residential,DHA Islamabad-Rawalpindi,Phase 1,5 Marla,4100000,820000,Fully Developed,2021,1,366
4/25/2021,Rawalpindi,Residential,DHA Islamabad-Rawalpindi,Phase 1,5 Marla,4700000,940000,Fully Developed,2021,4,461
7/25/2021,Rawalpindi,Residential,DHA Islamabad-Rawalpindi,Phase 1,5 Marla,5400000,1080000,Fully Developed,2021,7,548
10/25/2021,Rawalpindi,Residential,DHA Islamabad-Rawalpindi,Phase 1,5 Marla,6200000,1240000,Fully Developed,2021,10,639
1/25/2022,Rawalpindi,Residential,DHA Islamabad-Rawalpindi,Phase 1,5 Marla,6700000,1340000,Fully Developed,2022,1,730
4/25/2022,Rawalpindi,Residential,DHA Islamabad-Rawalpindi,Phase 1,5 Marla,7300000,1460000,Fully Developed,2022,4,821
7/25/2022,Rawalpindi,Residential,DHA Islamabad-Rawalpindi,Phase 1,5 Marla,7800000,1560000,Fully Developed,2022,7,903
10/25/2022,Rawalpindi,Residential,DHA Islamabad-Rawalpindi,Phase 1,5 Marla,7850000,1570000,Fully Developed,2022,10,994
1/25/2023,Rawalpindi,Residential,DHA Islamabad-Rawalpindi,Phase 1,5 Marla,7800000,1560000,Fully Developed,2023,1,1085
4/25/2023,Rawalpindi,Residential,DHA Islamabad-Rawalpindi,Phase 1,5 Marla,7750000,1550000,Fully Developed,2023,4,1176
7/25/2023,Rawalpindi,Residential,DHA Islamabad-Rawalpindi,Phase 1,5 Marla,7800000,1560000,Fully Developed,2023,7,1258
10/25/2023,Rawalpindi,Residential,DHA Islamabad-Rawalpindi,Phase 1,5 Marla,7850000,1570000,Fully Developed,2023,10,1349
1/25/2024,Rawalpindi,Residential,DHA Islamabad-Rawalpindi,Phase 1,5 Marla,7900000,1580000,Fully Developed,2024,1,1440
4/25/2024,Rawalpindi,Residential,DHA Islamabad-Rawalpindi,Phase 1,5 Marla,7900000,1580000,Fully Developed,2024,4,1531
7/25/2024,Rawalpindi,Residential,DHA Islamabad-Rawalpindi,Phase 1,5 Marla,7900000,1580000,Fully Developed,2024,7,1613
10/25/2024,Rawalpindi,Residential,DHA Islamabad-Rawalpindi,Phase 1,5 Marla,7950000,1590000,Fully Developed,2024,10,1704
1/25/2025,Rawalpindi,Residential,DHA Islamabad-Rawalpindi,Phase 1,5 Marla,8050000,1610000,Fully Developed,2025,1,1796
4/25/2025,Rawalpindi,Residential,DHA Islamabad-Rawalpindi,Phase 1,5 Marla,8150000,1630000,Fully Developed,2025,4,1887
7/25/2025,Rawalpindi,Residential,DHA Islamabad-Rawalpindi,Phase 1,5 Marla,8280000,1656000,Fully Developed,2025,7,1969
10/25/2025,Rawalpindi,Residential,DHA Islamabad-Rawalpindi,Phase 1,5 Marla,8400000,1680000,Fully Developed,2025,10,2060
1/25/2026,Rawalpindi,Residential,DHA Islamabad-Rawalpindi,Phase 1,5 Marla,8550000,1710000,Fully Developed,2026,1,2152
1/15/2020,Islamabad,Residential,Faisal Town,Block A,5 Marla,2900000,580000,Fully Developed,2020,1,0
4/15/2020,Islamabad,Residential,Faisal Town,Block A,5 Marla,3100000,620000,Fully Developed,2020,4,91
7/15/2020,Islamabad,Residential,Faisal Town,Block A,5 Marla,3400000,680000,Fully Developed,2020,7,182
10/15/2020,Islamabad,Residential,Faisal Town,Block A,5 Marla,3700000,740000,Fully Developed,2020,10,273
1/15/2021,Islamabad,Residential,Faisal Town,Block A,5 Marla,4000000,800000,Fully Developed,2021,1,365
4/15/2021,Islamabad,Residential,Faisal Town,Block A,5 Marla,4400000,880000,Fully Developed,2021,4,456
7/15/2021,Islamabad,Residential,Faisal Town,Block A,5 Marla,4900000,980000,Fully Developed,2021,7,547
10/15/2021,Islamabad,Residential,Faisal Town,Block A,5 Marla,5400000,1080000,Fully Developed,2021,10,638
1/15/2022,Islamabad,Residential,Faisal Town,Block A,5 Marla,5900000,1180000,Fully Developed,2022,1,730
4/15/2022,Islamabad,Residential,Faisal Town,Block A,5 Marla,6400000,1280000,Fully Developed,2022,4,821
7/15/2022,Islamabad,Residential,Faisal Town,Block A,5 Marla,6900000,1380000,Fully Developed,2022,7,912
10/15/2022,Islamabad,Residential,Faisal Town,Block A,5 Marla,7200000,1440000,Fully Developed,2022,10,1003
1/15/2023,Islamabad,Residential,Faisal Town,Block A,5 Marla,7400000,1480000,Fully Developed,2023,1,1095
4/15/2023,Islamabad,Residential,Faisal Town,Block A,5 Marla,7600000,1520000,Fully Developed,2023,4,1186
7/15/2023,Islamabad,Residential,Faisal Town,Block A,5 Marla,7800000,1560000,Fully Developed,2023,7,1277
10/15/2023,Islamabad,Residential,Faisal Town,Block A,5 Marla,8000000,1600000,Fully Developed,2023,10,1368
1/15/2024,Islamabad,Residential,Faisal Town,Block A,5 Marla,8200000,1640000,Fully Developed,2024,1,1460
4/15/2024,Islamabad,Residential,Faisal Town,Block A,5 Marla,8300000,1660000,Fully Developed,2024,4,1551
7/15/2024,Islamabad,Residential,Faisal Town,Block A,5 Marla,8350000,1670000,Fully Developed,2024,7,1642
10/15/2024,Islamabad,Residential,Faisal Town,Block A,5 Marla,8400000,1680000,Fully Developed,2024,10,1733
1/15/2025,Islamabad,Residential,Faisal Town,Block A,5 Marla,8500000,1700000,Fully Developed,2025,1,1825
4/15/2025,Islamabad,Residential,Faisal Town,Block A,5 Marla,8600000,1720000,Fully Developed,2025,4,1916
7/15/2025,Islamabad,Residential,Faisal Town,Block A,5 Marla,8700000,1740000,Fully Developed,2025,7,2007
10/15/2025,Islamabad,Residential,Faisal Town,Block A,5 Marla,8800000,1760000,Fully Developed,2025,10,2098
1/15/2026,Islamabad,Residential,Faisal Town,Block A,5 Marla,8900000,1780000,Fully Developed,2026,1,2190
2/1/2020,Rawalpindi,Residential,Faisal Hills,Block A,5 Marla,1000000,200000,Under Development,2020,2,17
5/1/2020,Rawalpindi,Residential,Faisal Hills,Block A,5 Marla,1200000,240000,Under Development,2020,5,107
8/1/2020,Rawalpindi,Residential,Faisal Hills,Block A,5 Marla,1450000,290000,Under Development,2020,8,199
11/1/2020,Rawalpindi,Residential,Faisal Hills,Block A,5 Marla,1700000,340000,Under Development,2020,11,291
2/1/2021,Rawalpindi,Residential,Faisal Hills,Block A,5 Marla,2000000,400000,Under Development,2021,2,383
5/1/2021,Rawalpindi,Residential,Faisal Hills,Block A,5 Marla,2300000,460000,Under Development,2021,5,473
8/1/2021,Rawalpindi,Residential,Faisal Hills,Block A,5 Marla,2500000,500000,Under Development,2021,8,565
11/1/2021,Rawalpindi,Residential,Faisal Hills,Block A,5 Marla,2650000,530000,Under Development,2021,11,656
2/1/2022,Rawalpindi,Residential,Faisal Hills,Block A,5 Marla,2750000,550000,Under Development,2022,2,748
5/1/2022,Rawalpindi,Residential,Faisal Hills,Block A,5 Marla,2800000,560000,Under Development,2022,5,838
8/1/2022,Rawalpindi,Residential,Faisal Hills,Block A,5 Marla,2600000,520000,Under Development,2022,8,930
11/1/2022,Rawalpindi,Residential,Faisal Hills,Block A,5 Marla,2550000,510000,Under Development,2022,11,1021
2/1/2023,Rawalpindi,Residential,Faisal Hills,Block A,5 Marla,2600000,520000,Under Development,2023,2,1113
5/1/2023,Rawalpindi,Residential,Faisal Hills,Block A,5 Marla,2700000,540000,Under Development,2023,5,1203
8/1/2023,Rawalpindi,Residential,Faisal Hills,Block A,5 Marla,2800000,560000,Under Development,2023,8,1295
11/1/2023,Rawalpindi,Residential,Faisal Hills,Block A,5 Marla,2900000,580000,Under Development,2023,11,1386
2/1/2024,Rawalpindi,Residential,Faisal Hills,Block A,5 Marla,3000000,600000,Under Development,2024,2,1478
5/1/2024,Rawalpindi,Residential,Faisal Hills,Block A,5 Marla,3100000,620000,Under Development,2024,5,1568
8/1/2024,Rawalpindi,Residential,Faisal Hills,Block A,5 Marla,3200000,640000,Under Development,2024,8,1660
11/1/2024,Rawalpindi,Residential,Faisal Hills,Block A,5 Marla,3300000,660000,Under Development,2024,11,1751
2/1/2025,Rawalpindi,Residential,Faisal Hills,Block A,5 Marla,3400000,680000,Under Development,2025,2,1843
5/1/2025,Rawalpindi,Residential,Faisal Hills,Block A,5 Marla,3500000,700000,Under Development,2025,5,1933
8/1/2025,Rawalpindi,Residential,Faisal Hills,Block A,5 Marla,3600000,720000,Under Development,2025,8,2025
11/1/2025,Rawalpindi,Residential,Faisal Hills,Block A,5 Marla,3700000,740000,Under Development,2025,11,2116
2/1/2026,Rawalpindi,Residential,Faisal Hills,Block A,5 Marla,3800000,760000,Under Development,2026,2,2208
1/10/2020,Rawalpindi,Residential,Grace Valley,Block A,5 Marla,750000,150000,Under Development,2020,1,-5
4/10/2020,Rawalpindi,Residential,Grace Valley,Block A,5 Marla,850000,170000,Under Development,2020,4,86
7/10/2020,Rawalpindi,Residential,Grace Valley,Block A,5 Marla,950000,190000,Under Development,2020,7,177
10/10/2020,Rawalpindi,Residential,Grace Valley,Block A,5 Marla,1050000,210000,Under Development,2020,10,269
1/10/2021,Rawalpindi,Residential,Grace Valley,Block A,5 Marla,1200000,240000,Under Development,2021,1,360
4/10/2021,Rawalpindi,Residential,Grace Valley,Block A,5 Marla,1350000,270000,Under Development,2021,4,451
7/10/2021,Rawalpindi,Residential,Grace Valley,Block A,5 Marla,1450000,290000,Under Development,2021,7,542
10/10/2021,Rawalpindi,Residential,Grace Valley,Block A,5 Marla,1550000,310000,Under Development,2021,10,633
1/10/2022,Rawalpindi,Residential,Grace Valley,Block A,5 Marla,1650000,330000,Under Development,2022,1,725
4/10/2022,Rawalpindi,Residential,Grace Valley,Block A,5 Marla,1700000,340000,Under Development,2022,4,815
7/10/2022,Rawalpindi,Residential,Grace Valley,Block A,5 Marla,1750000,350000,Under Development,2022,7,906
10/10/2022,Rawalpindi,Residential,Grace Valley,Block A,5 Marla,1800000,360000,Under Development,2022,10,998
1/10/2023,Rawalpindi,Residential,Grace Valley,Block A,5 Marla,1850000,370000,Under Development,2023,1,1090
4/10/2023,Rawalpindi,Residential,Grace Valley,Block A,5 Marla,1900000,380000,Under Development,2023,4,1180
7/10/2023,Rawalpindi,Residential,Grace Valley,Block A,5 Marla,1950000,390000,Under Development,2023,7,1271
10/10/2023,Rawalpindi,Residential,Grace Valley,Block A,5 Marla,2000000,400000,Under Development,2023,10,1362
1/10/2024,Rawalpindi,Residential,Grace Valley,Block A,5 Marla,2050000,410000,Under Development,2024,1,1454
4/10/2024,Rawalpindi,Residential,Grace Valley,Block A,5 Marla,2100000,420000,Under Development,2024,4,1545
7/10/2024,Rawalpindi,Residential,Grace Valley,Block A,5 Marla,2150000,430000,Under Development,2024,7,1636
10/10/2024,Rawalpindi,Residential,Grace Valley,Block A,5 Marla,2200000,440000,Under Development,2024,10,1727
1/10/2025,Rawalpindi,Residential,Grace Valley,Block A,5 Marla,2250000,450000,Under Development,2025,1,1819
4/10/2025,Rawalpindi,Residential,Grace Valley,Block A,5 Marla,2300000,460000,Under Development,2025,4,1909
7/10/2025,Rawalpindi,Residential,Grace Valley,Block A,5 Marla,2350000,470000,Under Development,2025,7,2000
