Date,Year,Month,Policy_Rate_Percent,CPI_Inflation_Percent,GDP_Growth_Rate_Percent,Construction_Cost_Index,Producer_Price_Index,Exchange_Rate_PKR_USD,Foreign_Exchange_Reserves_Billion_USD,Current_Account_Deficit_Percent_GDP,Government_Debt_Percent_GDP,Unemployment_Rate_Percent
3/1/2025,2025,3,11.5,4.5,2.7,471.8,504.8,279.8,12.8,8.3,103.4,8.6
4/1/2025,2025,4,11.25,4.7,2.7,481.2,510.2,279.2,13.2,8.5,103.8,8.65
5/1/2025,2025,5,11,4.9,2.7,490.5,515.8,279.5,13.7,8.7,104.2,8.7
6/1/2025,2025,6,10.75,5.1,2.7,499.8,521.2,280.8,14.1,8.9,104.6,8.75
7/1/2025,2025,7,10.5,5.3,3.7,509.2,526.8,281.2,14.5,0.25,105,8.8
8/1/2025,2025,8,10.25,5.5,3.7,518.5,532.2,279.5,14.9,0.4,105.4,8.85
9/1/2025,2025,9,10,5.7,3.7,527.8,537.5,280.8,15.3,0.5,105.8,8.9
10/1/2025,2025,10,10,6,3.7,537.2,542.8,278.5,15.7,0.7,106.2,8.95
11/1/2025,2025,11,10,6.1,3.7,546.5,547.8,279.2,16.1,0.8,106.6,9
12/1/2025,2025,12,10.5,5.6,3.7,555.8,552.2,279.8,15.8,0.9,107,9.05
1/1/2026,2026,1,10.5,5.8,4,565.2,557.5,280.5,18.2,0.5,107.4,9.1
2/1/2026,2026,2,10.5,7,4,574.5,562.8,276.8,18.1,0.6,107.8,9.15
3/1/2026,2026,3,10.5,6.8,4,583.8,568.2,279.2,17.95,0.7,108.2,9.2
